0
[  32.79833134 -117.238196  ]
[  33.21211661 -117.20967441]
[  32.6239916  -117.03239137]
[  33.210253   -117.23408234]
[  33.21415088 -117.24488837]
[  32.75126309 -117.20475848]
[  32.80064337 -117.21075148]
[  32.82896829 -117.22182307]
[  32.83107748 -117.10833259]
[  33.12453826 -117.07412212]
[  32.80029161 -117.22928453]
[  33.07221183 -117.24244645]
[  33.13047626 -117.12268644]
[  32.70133318 -117.05897349]
[  32.81708338 -117.16134303]
[  32.93735008 -117.12719784]
[  32.75761264 -117.08086088]
[  32.79290972 -116.93079455]
[  32.7584605  -117.07492928]
[  32.70582964 -117.1503545 ]
[  33.16266029 -117.33297103]
[  33.19787218 -117.27951698]
[  33.15978322 -117.34887579]
[  32.71043034 -117.16013128]
[  32.75329662 -117.20971832]
[  32.71379643 -117.12531366]
[  32.77383078 -117.15409688]
[  32.61266414 -117.03397447]
[  32.75531659 -117.13209167]
[  32.64068043 -117.04931518]
[  32.73077408 -117.12954261]
[  32.91289791 -117.12417365]
[  32.8135231  -117.15269134]
[  32.57429 -117.06609]
[  33.19588 -117.37959]
[  32.8143217  -117.12163257]
[  32.81937934 -117.15501579]
[  33.15472018 -117.34170708]
[  32.62900669 -117.04393466]
[  32.78457702 -117.20450909]
[  32.7929936  -117.09750731]
[  32.71316666 -117.06050287]
[  32.75336171 -117.12524161]
[  32.7133715  -117.09360862]
[  32.7368968 -117.1293059]
[  32.7551803  -117.10934109]
[  32.7495176  -117.08908806]
[  32.76484486 -117.06089048]
[  32.66388792 -117.06162263]
[  32.61844391 -117.07549868]
[  33.16594493 -117.34840463]
[  32.75707086 -117.10186846]
[  32.82494099 -117.22569497]
[  32.92180082 -117.05054717]
[  32.75341499 -117.23898004]
[  32.75313721 -117.09540981]
[  32.82299451 -117.18411609]
[  32.72630939 -117.10943026]
[  32.88056636 -117.11221402]
[  32.74136881 -117.25050087]
[  32.70415322 -117.09798603]
[  32.77390772 -117.16786978]
[  32.748927   -117.24399506]
[  32.72929312 -117.16203   ]
[  32.78221893 -116.9730606 ]
[  32.72955599 -117.2436565 ]
[  32.94697031 -117.09587539]
[  32.81163755 -117.0040809 ]
[  32.81110421 -116.95098901]
[  32.69600805 -117.11777471]
[  32.80222628 -117.22986948]
[  32.79667707 -117.24574547]
[  32.79915254 -117.2562772 ]
[  32.91233355 -117.14985502]
[  32.83605488 -117.2541922 ]
[  32.7570766  -117.08472945]
[  32.77198347 -117.14016626]
[  33.17848689 -117.28268965]
[  32.75079549 -117.07284578]
[  33.11941 -117.08352]
[  33.24533 -117.31721]
[  32.59488299 -117.06907224]
[  32.58300762 -117.02741021]
[  32.61486105 -117.03564089]
[  32.60676891 -117.03185813]
[  32.7708905  -117.15625345]
[  32.55824557 -117.04077674]
[  32.86144489 -117.21017075]
[  32.62774788 -117.0352496 ]
[  32.79597241 -117.15708797]
[  33.2413922  -117.32259102]
[  32.74989329 -117.24318185]
[  32.71467741 -117.15743764]
[  32.74834138 -117.16017164]
[  32.85044862 -117.25518956]
[  32.79549886 -116.93574531]
[  32.69920517 -117.17763318]
[  32.76869468 -117.04709349]
[  32.82678214 -117.1543027 ]
[  32.69408927 -117.06888251]
[  32.70161798 -117.09374624]
[  32.80232618 -117.1572539 ]
[  32.7945873 -116.96797  ]
[  33.26282 -117.28891]
[  33.19362968 -117.25454655]
[  33.2248948  -117.22619094]
[  32.76981371 -117.1357661 ]
[  32.925 -117.236]
[  32.76667666 -117.06735821]
[  32.8053 -117.2226]
[  32.82052012 -117.16709603]
[  33.21718438 -117.22736328]
[  32.63206193 -117.08549926]
[  32.74462982 -117.19347498]
[  33.20176138 -117.24496467]
[  32.72513204 -117.17345851]
[  32.76908289 -117.19098696]
[  32.80421381 -117.03804866]
[  32.77673412 -117.12565252]
[  32.63914826 -117.10123302]
[  32.61545705 -117.08341291]
[  33.15895255 -117.24167155]
[  32.62126633 -117.04234637]
[  32.62153011 -117.08578388]
[  33.19602585 -117.2530441 ]
[  32.90753689 -117.1715057 ]
[  32.78715811 -117.25350834]
[  32.78766643 -116.95366085]
[  32.94525649 -117.21707292]
[  32.73159533 -117.23933061]
[  32.81072617 -116.9796295 ]
[  33.19315 -117.29612]
[  32.91314342 -117.11003944]
[  32.64256526 -116.96656968]
[  32.80582047 -116.944603  ]
[  33.1947895  -117.25015351]
[  32.86903838 -117.19556706]
[  33.21853 -117.33216]
[  33.18783426 -117.27957235]
[  32.55580951 -117.04063939]
[  33.18840413 -117.28034802]
[  32.6387535  -116.99039643]
[  33.18206 -117.29634]
[  33.20045 -117.33132]
[  32.80769174 -116.96138538]
[  32.60570363 -117.03645141]
[  32.64094925 -117.04979828]
[  33.13801 -117.07949]
[  33.12878 -117.08452]
[  32.7136572  -117.15376308]
[  32.6840779  -117.10479356]
[  32.61336976 -117.00928448]
[  32.64122454 -117.05044042]
[  32.8937495  -117.12690561]
[  32.61951961 -117.13617528]
[  32.6433349  -117.09430004]
[  32.74897169 -117.07260208]
[  32.75895569 -117.08466957]
[  33.20429 -117.36422]
[  32.64454243 -117.06760307]
[  32.64958611 -116.96117196]
[  33.10792 -117.06202]
[  33.24543 -117.32275]
[  33.13184 -117.08088]
[  32.81121745 -116.93573488]
[  32.90283681 -117.12404609]
[  32.5701 -117.084 ]
[  32.7989 -117.1263]
[  32.90275439 -117.12404352]
[  32.5837 -117.0928]
[  32.58375157 -117.05894127]
[  33.18625 -117.29629]
[  32.69304459 -117.17142246]
[  32.77493402 -117.05670651]
[  32.61635971 -117.1352005 ]
[  32.78411912 -117.17138996]
[  32.71262348 -117.15191561]
[  32.78892271 -116.97407431]
[  33.18887 -117.36407]
[  32.68361933 -117.17882834]
[  33.13236027 -117.19712003]
[  33.1573539  -117.20136325]
[  33.08285528 -116.91964118]
[  33.10709527 -117.22547655]
[  33.12779908 -117.07082722]
[  32.79981689 -117.2406131 ]
[  32.74692917 -117.1595306 ]
[  32.76824978 -117.00238162]
[  33.14946 -117.06575]
[  33.21581 -117.29719]
[  33.22158 -117.29719]
[  32.8008135  -117.15813653]
[  33.09424 -117.07196]
[  33.20593 -117.36527]
[  32.79549886 -116.93574531]
[  33.15677632 -117.20006309]
[  32.7871881  -116.92216751]
[  33.27617 -117.29255]
[  32.56441916 -117.07913376]
[  32.80641231 -116.92691291]
[  33.19396097 -117.25388387]
[  33.20296199 -117.24435822]
[  33.12922807 -117.12313135]
[  33.205341   -117.23713566]
[  33.16155413 -117.24204369]
[  32.80115555 -117.22533913]
[  33.14163305 -117.13914538]
[  32.69538787 -117.17275895]
[  32.77946953 -117.06632191]
[  33.18279892 -117.15586943]
[  33.1447613  -117.20100807]
[  32.91309371 -117.19808055]
[  32.71544309 -117.15197468]
[  33.19086183 -117.23754973]
[  32.7769 -117.1731]
[  32.67949681 -117.17588549]
[  32.76100034 -117.1206772 ]
[  33.1954089 -117.2547891]
[  33.02386437 -117.08214779]
[  32.8396762  -117.27608649]
[  32.78470688 -116.97776453]
[  33.21635189 -117.25616099]
[  33.21  -117.378]
[  32.74784431 -117.07502302]
[  33.13906 -117.07296]
[  32.7447306  -117.21212608]
[  32.85014498 -117.25590531]
[  33.1562368  -117.19886098]
[  33.21483 -117.35713]
[  33.13608 -117.0705 ]
[  32.84022745 -117.27373176]
[  32.75241374 -117.2067323 ]
[  32.7347642 -117.0796632]
[  32.796671   -117.24577386]
[  32.8328873  -117.27695311]
[  32.65372464 -117.08922785]
[  32.65382447 -117.08926615]
[  32.62866965 -117.04174077]
[  32.71153973 -117.14720345]
[  33.18765487 -117.22542497]
[  33.2766  -117.29178]
[  33.21718443 -117.22775565]
[  33.19046722 -117.26979102]
[  33.19011259 -117.22504884]
[  32.83357512 -117.11973122]
[  33.09424 -117.07196]
[  33.24313 -117.29396]
[  32.7862449  -117.00134771]
[  33.18563233 -117.28357772]
[  32.77858714 -117.00700959]
[  32.68706131 -117.0940399 ]
[  32.67559311 -117.0857137 ]
[  32.67083671 -117.0732441 ]
[  32.73175479 -117.09647708]
[  33.14054247 -117.17488987]
[  33.13913459 -117.18304697]
[  32.77068181 -117.00828096]
[  33.19532 -117.35341]
[  33.20305497 -117.33309567]
[  32.75275733 -117.04007662]
[  33.20333952 -117.33321695]
[  33.14104334 -117.16383019]
[  33.12737109 -117.16791471]
[  33.11581 -117.07368]
[  33.14098 -117.04424]
[  33.10888 -117.07785]
[  33.13546994 -117.09335149]
[  33.1243782 -117.0709839]
[  32.68273064 -117.08237177]
[  32.74161148 -117.1863785 ]
[  32.63201771 -116.97158495]
[  33.15876234 -117.20659584]
[  33.14480339 -117.15033135]
[  33.10431423 -117.17727344]
[  33.13826147 -117.1750217 ]
[  32.80566567 -117.2367786 ]
[  32.67555669 -117.10452248]
[  32.7194349  -117.09357466]
[  32.76335975 -117.1247497 ]
[  33.21241 -117.36732]
[  33.1332033  -117.19396074]
[  33.13353745 -117.15972627]
[  32.87048018 -117.24040986]
[  32.68388345 -117.09191177]
[  32.70537558 -117.12523329]
[  32.89712848 -117.13707195]
[  32.67551796 -117.10680397]
[  32.80881903 -117.21957573]
[  32.74220276 -117.1815948 ]
[  33.21465 -117.35713]
[  32.672924 -117.096768]
[  33.21835504 -117.34430269]
[  32.94697031 -117.09587539]
[  32.71363732 -117.15834051]
[  33.17062763 -117.2934632 ]
[  32.91282865 -117.1429002 ]
[  32.74044239 -117.10702886]
[  32.85007844 -117.25154644]
[  32.78383048 -117.198692  ]
[  32.74969864 -117.2061691 ]
[  32.80162902 -117.15337398]
[  33.08171195 -117.2557291 ]
[  33.20981894 -117.24493755]
[  32.96305214 -117.15117959]
[  32.66433188 -117.09334004]
[  33.12996645 -117.16487845]
[  32.81173592 -117.20060041]
[  33.13415912 -117.19760554]
[  33.14026898 -117.20328195]
[  32.71782595 -117.15502312]
[  32.80185479 -117.12895198]
[  33.16704202 -117.18216095]
[  32.80768253 -116.9643991 ]
[  32.93572 -117.26071]
[  33.13651383 -117.17878585]
[  32.96768923 -117.17957629]
[  32.92050775 -117.12509985]
[  32.71994107 -117.16113013]
[  33.13136335 -117.20186237]
[  33.22602 -117.33111]
[  33.08433387 -117.23845874]
[  33.12716 -117.06563]
[  32.80197976 -117.2217053 ]
[  33.1221  -117.07805]
[  33.1273  -117.07407]
[  33.10467 -117.07311]
[  32.82769455 -117.20612783]
[  33.14666 -117.1044 ]
[  32.79909641 -117.23476129]
[  33.15156 -117.09636]
[  32.66115088 -117.11533718]
[  33.07512656 -117.20797409]
[  33.04886204 -117.29298152]
[  33.05844539 -117.26059289]
[  32.79371002 -117.2546299 ]
[  32.69280359 -117.1315956 ]
[  33.12556074 -117.26191794]
[  32.78143716 -117.1732646 ]
[  33.03804858 -117.29352637]
[  32.60999861 -117.06766937]
[  32.61662972 -117.00354872]
[  32.78033293 -117.2218564 ]
[  32.77622159 -117.25236069]
[  33.01437608 -117.27545022]
[  32.7428817 -117.1817866]
[  32.73577842 -117.07965666]
[  32.71941482 -117.08501023]
[  32.91807108 -117.18541691]
[  32.77070974 -117.0673696 ]
[  32.8030593  -117.13807646]
[  32.71152991 -117.15037316]
[  32.70038564 -117.02915648]
[  33.19588 -117.37959]
[  32.82769455 -117.20612783]
[  32.96007798 -117.15305558]
[  32.83440212 -117.17841122]
[  32.79938167 -117.24272786]
[  33.20083 -117.34107]
[  33.20183 -117.33233]
[  32.74551491 -117.05887193]
[  32.77697428 -117.17312497]
[  32.68296944 -117.04323105]
[  32.81741889 -117.15484591]
[  32.7378 -117.1343]
[  33.08403175 -117.2678779 ]
[  32.78878967 -117.11161487]
[  32.90979 -117.14693]
[  33.01313198 -117.14721733]
[  33.02162733 -117.1355045 ]
[  32.92202523 -117.1190073 ]
[  33.19602 -117.29266]
[  32.74961818 -117.10088897]
[  32.58061735 -117.09269345]
[  32.7023 -117.0513]
[  33.02525845 -117.06010705]
[  32.77795894 -117.1006303 ]
[  32.80583 -117.14013]
[  32.74309033 -117.21059558]
[  33.20277 -117.36714]
[  32.72850943 -117.16392183]
[  33.1652441  -117.34840449]
[  32.75592595 -117.09328978]
[  32.89378197 -117.1234494 ]
[  33.13047626 -117.12268644]
[  32.75314485 -117.07944622]
[  33.15255746 -117.33003972]
[  33.1386589  -117.25504525]
[  33.12907713 -117.24135262]
[  32.74893567 -117.07265122]
[  32.75094326 -117.24489146]
[  33.10224969 -117.26650211]
[  32.91569827 -117.1438021 ]
[  32.77678135 -117.1256858 ]
[  33.08539002 -117.2685268 ]
[  33.12197548 -117.31360428]
[  33.10136832 -117.26635119]
[  32.80436942 -117.11392301]
[  33.10226873 -117.26650537]
[  33.13201913 -117.33514702]
[  33.10101469 -117.26629064]
[  33.10454279 -117.30497795]
[  33.15823747 -117.35101258]
[  33.1265528  -117.27365815]
[  32.71882391 -117.16646705]
[  32.6637623  -117.10222467]
[  33.15750539 -117.33249534]
[  32.80205917 -116.9357605 ]
[  33.15580841 -117.32585085]
[  32.9006293 -117.2076438]
[  33.10853119 -117.26904452]
[  33.12462 -117.07797]
[  32.63979972 -117.09890339]
[  33.1206  -117.08615]
[  33.13452217 -117.32958195]
[  33.12408897 -117.30159984]
[  33.14021 -117.06341]
[  33.13292 -117.07733]
[  32.57436821 -117.02160642]
[  32.5947478  -117.06607741]
[  33.16723955 -117.30063193]
[  33.14751851 -117.29190967]
[  33.12230108 -117.32497627]
[  33.11756 -117.09499]
[  32.60543141 -117.0393474 ]
[  33.12794 -117.09333]
[  32.60224169 -117.0680472 ]
[  32.68296944 -117.04323105]
[  32.71559764 -117.16383577]
[  33.08743861 -117.2259095 ]
[  32.65696918 -116.95874017]
[  32.69600801 -117.11793722]
[  32.81731217 -117.09953489]
[  32.74389655 -117.21871565]
[  32.7673954  -117.13896645]
[  33.15838838 -117.3177159 ]
[  32.69540624 -117.1728026 ]
[  33.10229256 -117.26723301]
[  32.80659254 -117.23706152]
[  32.83395919 -117.17242222]
[  32.55093098 -116.95485453]
[  33.1311115  -117.23029047]
[  33.10443632 -117.26687166]
[  32.90009867 -117.19581143]
[  32.76100273 -117.13537872]
[  32.85460621 -117.20459991]
[  32.75233796 -117.20383104]
[  32.77185554 -117.14037531]
[  32.76883096 -117.0404355 ]
[  32.76257883 -117.06691683]
[  32.74848527 -117.15012388]
[  32.68599959 -117.07074448]
[  32.7006651  -117.14508062]
[  32.67093077 -117.10732102]
